,Year,Team,Votes
10,2004,NOH,4.0
11,2004,DAL,4.0
12,2004,UTA,2.0
13,2004,DEN,1.0
14,2004,HOU,1.0
15,2004,MIL,1.0
0,2003,SAS,962.0
1,2003,MIN,871.0
2,2003,LAL,496.0
3,2003,ORL,427.0
4,2003,LAL,126.0
5,2003,PHI,83.0
6,2003,DAL,43.0
7,2003,DET,33.0
8,2003,NJN,31.0
9,2003,SAC,19.0
10,2003,NOH,1.0
11,2003,DAL,1.0
12,2003,BOS,1.0
0,2002,SAS,954.0
1,2002,NJN,897.0
2,2002,LAL,696.0
3,2002,ORL,390.0
4,2002,LAL,98.0
5,2002,SEA,54.0
6,2002,SAC,37.0
7,2002,DAL,31.0
8,2002,PHI,29.0
9,2002,DET,24.0
10,2002,BOS,22.0
11,2002,MIN,17.0
12,2002,WAS,16.0
13,2002,DAL,5.0
14,2002,DET,3.0
15,2002,SAC,1.0
16,2002,LAC,1.0
17,2002,SAC,1.0
0,2001,PHI,1121.0
1,2001,SAS,706.0
2,2001,LAL,578.0
3,2001,SAC,521.0
4,2001,MIN,151.0
5,2001,ORL,64.0
6,2001,UTA,21.0
7,2001,PHO,18.0
8,2001,LAL,11.0
9,2001,SAS,8.0
10,2001,MIL,7.0
11,2001,TOR,7.0
12,2001,BOS,5.0
13,2001,DET,3.0
14,2001,DAL,1.0
15,2001,MIA,1.0
16,2001,UTA,1.0
0,2000,LAL,1207.0
1,2000,MIN,408.0
2,2000,MIA,367.0
3,2000,UTA,312.0
4,2000,SAS,248.0
5,2000,SEA,180.0
6,2000,PHI,132.0
7,2000,DET,113.0
8,2000,SAC,96.0
9,2000,TOR,51.0
10,2000,PHO,25.0
11,2000,LAL,3.0
12,2000,ORL,1.0
13,2000,DAL,1.0
14,2000,IND,1.0
15,2000,IND,1.0
0,1999,UTA,827.0
1,1999,MIA,773.0
2,1999,SAS,740.0
3,1999,PHI,319.0
4,1999,PHO,159.0
5,1999,LAL,89.0
6,1999,SAC,51.0
7,1999,DET,39.0
8,1999,SEA,35.0
9,1999,MIN,9.0
10,1999,CLE,7.0
11,1999,SAS,6.0
12,1999,HOU,3.0
13,1999,POR,3.0
14,1999,ORL,2.0
15,1999,TOR,1.0
16,1999,ORL,1.0
17,1999,IND,1.0
18,1999,MIL,1.0
19,1999,ATL,1.0
20,1999,POR,1.0
0,1998,CHI,1084.0
1,1998,UTA,842.0
2,1998,SEA,431.0
3,1998,LAL,311.0
4,1998,SAS,148.0
5,1998,MIA,71.0
6,1998,SAS,36.0
7,1998,SEA,24.0
8,1998,DET,23.0
9,1998,CHI,14.0
10,1998,CHH,7.0
11,1998,BOS,6.0
12,1998,PHO,5.0
13,1998,UTA,5.0
14,1998,SAC,3.0
15,1998,IND,2.0
16,1998,IND,2.0
17,1998,DAL,1.0
18,1998,WAS,1.0
0,1997,UTA,986.0
1,1997,CHI,957.0
2,1997,DET,376.0
3,1997,MIA,238.0
4,1997,CHH,134.0
5,1997,SEA,105.0
6,1997,HOU,95.0
7,1997,NYK,57.0
8,1997,CHH,7.0
9,1997,LAL,7.0
10,1997,CHI,6.0
11,1997,MIA,5.0
12,1997,ATL,4.0
13,1997,SAC,4.0
14,1997,UTA,3.0
15,1997,HOU,2.0
16,1997,MIN,1.0
17,1997,PHI,1.0
18,1997,PHO,1.0
19,1997,ATL,1.0
0,1996,CHI,1114.0
1,1996,SAS,574.0
2,1996,ORL,360.0
3,1996,HOU,238.0
4,1996,CHI,226.0
5,1996,SEA,98.0
6,1996,UTA,85.0
7,1996,SEA,73.0
8,1996,DET,63.0
9,1996,ORL,63.0
10,1996,UTA,12.0
11,1996,PHO,8.0
12,1996,LAL,8.0
13,1996,MIA,6.0
14,1996,CHI,4.0
15,1996,CLE,3.0
16,1996,SAC,3.0
0,1995,SAS,901.0
1,1995,ORL,605.0
2,1995,UTA,532.0
3,1995,NYK,230.0
4,1995,HOU,147.0
5,1995,PHO,96.0
6,1995,CHI,83.0
7,1995,UTA,47.0
8,1995,SEA,34.0
9,1995,ORL,23.0
10,1995,CHI,12.0
11,1995,SAS,9.0
12,1995,DAL,7.0
13,1995,HOU,3
14,1995,LAL,1.0
0,1994,HOU,889.0
1,1994,SAS,730.0
2,1994,CHI,390.0
3,1994,ORL,289.0
4,1994,NYK,255.0
5,1994,SEA,20.0
6,1994,SEA,17.0
7,1994,UTA,17.0
8,1994,CLE,7.0
9,1994,PHO,5.0
10,1994,ATL,1.0
11,1994,PHO,1.0
12,1994,SAS,1.0
13,1994,GSW,1.0
14,1994,UTA,1.0
15,1994,LAC,1
16,1994,ATL,1.0
0,1993,PHO,835.0
1,1993,HOU,647.0
2,1993,CHI,565.0
3,1993,NYK,359.0
4,1993,ATL,54.0
5,1993,SAS,33.0
6,1993,ORL,30.0
7,1993,UTA,10.0
8,1993,CLE,10.0
9,1993,CLE,1.0
10,1993,POR,1.0
11,1993,DET,1.0
12,1993,SEA,1.0
13,1993,UTA,1.0
0,1992,CHI,900.0
1,1992,POR,561.0
2,1992,SAS,337.0
3,1992,UTA,262.0
4,1992,NYK,100.0
5,1992,GSW,81.0
6,1992,CLE,66.0
7,1992,GSW,64.0
8,1992,CHI,32.0
9,1992,DET,26.0
10,1992,CLE,24.0
11,1992,PHI,18.0
12,1992,UTA,18.0
13,1992,BOS,3.0
14,1992,PHO,2.0
15,1992,LAC,1.0
16,1992,IND,1.0
0,1991,CHI,891.0
1,1991,LAL,497.0
2,1991,SAS,476.0
3,1991,PHI,222.0
4,1991,UTA,142.0
5,1991,POR,75.0
6,1991,PHO,32.0
7,1991,ATL,29.0
8,1991,BOS,25.0
9,1991,POR,25.0
10,1991,NYK,20.0
11,1991,UTA,15.0
12,1991,DET,11.0
13,1991,BOS,10.0
14,1991,DET,8.0
15,1991,WSB,7.0
16,1991,HOU,5.0
17,1991,HOU,4.0
18,1991,GSW,1.0
19,1991,BOS,1.0
0,1990,LAL,636.0
1,1990,PHI,614.0
2,1990,CHI,564.0
3,1990,UTA,214.0
4,1990,NYK,162.0
5,1990,SAS,102.0
6,1990,HOU,64.0
7,1990,PHO,12.0
8,1990,UTA,9.0
9,1990,BOS,5.0
10,1990,POR,5.0
11,1990,POR,3.0
12,1990,DET,1.0
13,1990,DET,1.0
0,1989,LAL,664.5
1,1989,CHI,598.8
2,1989,UTA,362.0
3,1989,NYK,200.0
4,1989,HOU,179.3
5,1989,PHI,94.3
6,1989,UTA,28.0
7,1989,PHO,22.0
8,1989,PHO,20.0
9,1989,CLE,18.0
10,1989,CLE,4.0
11,1989,BOS,4.0
12,1989,UTA,3.0
13,1989,ATL,3.0
14,1989,GSW,3.0
15,1989,CLE,3.0
16,1989,MIL,1.0
17,1989,DET,1.0
18,1989,DET,1.0
0,1988,CHI,665.0
1,1988,BOS,527.0
2,1988,LAL,508.0
3,1988,PHI,109.0
4,1988,POR,86.0
5,1988,ATL,55.0
6,1988,HOU,40.0
7,1988,UTA,36.0
8,1988,DEN,26.0
9,1988,UTA,15.0
10,1988,DEN,4.0
11,1988,DET,3.0
12,1988,NYK,2.0
13,1988,DEN,1.0
14,1988,DAL,1.0
15,1988,DET,1.0
16,1988,NJN,1.0
0,1987,LAL,733.0
1,1987,CHI,449.0
2,1987,BOS,271.0
3,1987,BOS,254.0
4,1987,ATL,128.0
5,1987,PHI,113.0
6,1987,HOU,28.0
7,1987,DET,17.0
8,1987,DEN,11.0
9,1987,WSB,9.0
10,1987,POR,4.0
11,1987,UTA,3.0
12,1987,BOS,3.0
13,1987,DEN,2.0
14,1987,DAL,1.0
15,1987,DAL,1.0
16,1987,GSW,1.0
0,1986,BOS,765.0
1,1986,ATL,407.0
2,1986,LAL,205.0
3,1986,HOU,193.0
4,1986,LAL,135.0
5,1986,PHI,133.0
6,1986,MIL,56.0
7,1986,DEN,55.0
8,1986,DET,28.0
9,1986,PHI,21.0
10,1986,MIL,9.0
11,1986,LAL,7.0
12,1986,BOS,3.0
13,1986,MIL,3.0
14,1986,SAS,3.0
15,1986,UTA,2.0
16,1986,NJN,2.0
17,1986,BOS,1.0
0,1985,BOS,763.0
1,1985,LAL,264.0
2,1985,PHI,218.0
3,1985,LAL,206.0
4,1985,MIL,138.0
5,1985,CHI,134.0
6,1985,NYK,70.0
7,1985,MIL,65.0
8,1985,DET,63.0
9,1985,HOU,26.0
10,1985,DEN,22.0
11,1985,DEN,12.0
12,1985,HOU,12.0
13,1985,NJN,11.0
14,1985,PHI,5.0
15,1985,UTA,4.0
16,1985,MIL,3.0
17,1985,SEA,3.0
18,1985,ATL,3.0
19,1985,CLE,2.0
20,1985,GSW,2.0
21,1985,POR,1.0
22,1985,PHI,1.0
0,1984,BOS,652.0
1,1984,NYK,373.0
2,1984,LAL,305.0
3,1984,LAL,153.0
4,1984,DET,115.0
5,1984,PHI,98.0
6,1984,UTA,88.0
7,1984,MIL,70.0
8,1984,WSB,38.0
9,1984,PHI,35.0
10,1984,DAL,28.0
11,1984,DET,9.0
12,1984,UTA,8.0
13,1984,CLE,1.0
14,1984,MIL,1.0
0,1983,PHI,720.0
1,1983,BOS,364.0
2,1983,LAL,304.5
3,1983,MIL,226.0
4,1983,PHI,112.0
5,1983,DEN,42.0
6,1983,NJN,40.0
7,1983,SAS,33.0
8,1983,SAS,30.0
9,1983,LAL,15.0
10,1983,SEA,13.0
11,1983,WSB,12.0
12,1983,SDC,10.0
13,1983,PHO,9.0
14,1983,MIL,5.0
15,1983,NYK,4.0
16,1983,DET,4.0
17,1983,KCK,3.0
18,1983,SEA,3.0
19,1983,ATL,2.0
20,1983,MIL,1.5
21,1983,LAL,1.0
22,1983,DEN,1.0
0,1982,HOU,507.0
1,1982,BOS,406.0
2,1982,PHI,203.0
3,1982,BOS,131.0
4,1982,SEA,115.0
5,1982,SAS,110.0
6,1982,MIL,101.0
7,1982,LAL,67.0
8,1982,SEA,33.0
9,1982,LAL,31.0
10,1982,ATL,14.0
11,1982,DET,14.0
12,1982,DEN,12.0
13,1982,GSW,10.0
14,1982,UTA,7.0
15,1982,NJN,6.0
16,1982,LAL,3.0
17,1982,DEN,3.0
18,1982,MIL,3.0
19,1982,DET,3.0
20,1982,PHO,1.0
21,1982,POR,1.0
22,1982,DAL,1.0
23,1982,LAL,1.0
24,1982,NJN,1.0
0,1981,PHI,454.0
1,1981,BOS,423.0
2,1981,LAL,286.0
3,1981,HOU,180.0
4,1981,SAS,83.0
5,1981,MIL,73.0
6,1981,BOS,53.0
7,1981,PHO,50.0
8,1981,BOS,32.0
9,1981,LAL,19.0
10,1981,LAL,18.0
11,1981,UTA,15.0
12,1981,KCK,15.0
13,1981,GSW,12.0
14,1981,POR,11.0
15,1981,SEA,11.0
16,1981,KCK,7.0
17,1981,NYK,7.0
18,1981,PHO,6.0
19,1981,CHI,6.0
20,1981,LAL,5.0
21,1981,CHI,4.0
22,1981,MIL,4.0
23,1981,LAL,3.0
24,1981,PHO,3.0
25,1981,SAS,3.0
26,1981,PHI,3.0
27,1981,CLE,3.0
28,1981,SAS,3.0
29,1981,MIL,1.0
30,1981,PHI,1.0
0,1980,LAL,147.0
1,1980,PHI,31.5
2,1980,SAS,19.0
3,1980,BOS,15.0
4,1980,BOS,2.0
5,1980,SEA,2.0
6,1980,ATL,2.0
7,1980,SEA,1.5
8,1980,HOU,1.0
